Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:00,  2.45it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:00<00:00,  2.44it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00,  3.61it/s]
{"update": 1, "examples_seen": 8, "supervised_tokens": 1592, "loss": 0.0016344585726528749, "gradient_norm": 0.07518955320119858, "learning_rate": 2e-05, "seconds": 3.5178645009999627, "elapsed_training_seconds": 3.5179503929999782}
{"update": 2, "examples_seen": 16, "supervised_tokens": 1420, "loss": 0.0031803398196643684, "gradient_norm": 0.08728387951850891, "learning_rate": 4e-05, "seconds": 3.0603109380000433, "elapsed_training_seconds": 6.597242863999895}
{"update": 3, "examples_seen": 24, "supervised_tokens": 1484, "loss": 0.005465020070460014, "gradient_norm": 0.12631121277809143, "learning_rate": 6e-05, "seconds": 3.270498959999941, "elapsed_training_seconds": 9.86953744699997}
{"update": 4, "examples_seen": 32, "supervised_tokens": 1291, "loss": 0.0008118879036373983, "gradient_norm": 0.05247760936617851, "learning_rate": 8e-05, "seconds": 2.8230115369999567, "elapsed_training_seconds": 12.694025868999915}
{"update": 5, "examples_seen": 40, "supervised_tokens": 1287, "loss": 0.001953469291493093, "gradient_norm": 0.15996840596199036, "learning_rate": 0.0001, "seconds": 3.061146016000066, "elapsed_training_seconds": 15.756843034999974}
{"update": 6, "examples_seen": 48, "supervised_tokens": 1391, "loss": 0.0008423251383646857, "gradient_norm": 0.06856288760900497, "learning_rate": 0.0001, "seconds": 2.684918811999978, "elapsed_training_seconds": 18.44319033299996}
{"update": 7, "examples_seen": 56, "supervised_tokens": 1477, "loss": 0.0002502621791791171, "gradient_norm": 0.014053401537239552, "learning_rate": 0.0001, "seconds": 3.1093334260000347, "elapsed_training_seconds": 21.554067405999945}
{"update": 8, "examples_seen": 64, "supervised_tokens": 1357, "loss": 0.0004923477943066246, "gradient_norm": 0.03893435746431351, "learning_rate": 0.0001, "seconds": 3.0933098639999344, "elapsed_training_seconds": 24.649011858999984}
{"update": 9, "examples_seen": 72, "supervised_tokens": 1541, "loss": 0.0015202809418042307, "gradient_norm": 0.08533585071563721, "learning_rate": 0.0001, "seconds": 3.268036502999962, "elapsed_training_seconds": 27.919470889999957}
{"update": 10, "examples_seen": 80, "supervised_tokens": 1408, "loss": 4.6670270421600435e-05, "gradient_norm": 0.0017184149473905563, "learning_rate": 0.0001, "seconds": 2.78600006399995, "elapsed_training_seconds": 30.70706549099998}
{"update": 11, "examples_seen": 88, "supervised_tokens": 1521, "loss": 4.585144779412076e-05, "gradient_norm": 0.0018769984599202871, "learning_rate": 0.0001, "seconds": 3.207021485999917, "elapsed_training_seconds": 33.91576713799998}
{"update": 12, "examples_seen": 96, "supervised_tokens": 1420, "loss": 3.94284475078166e-05, "gradient_norm": 0.0009631499997340143, "learning_rate": 0.0001, "seconds": 3.085787234999998, "elapsed_training_seconds": 37.00317552299998}
{"update": 13, "examples_seen": 104, "supervised_tokens": 1585, "loss": 3.356528759468347e-05, "gradient_norm": 0.003781645791605115, "learning_rate": 0.0001, "seconds": 3.1040586210000356, "elapsed_training_seconds": 40.10873426799992}
{"update": 14, "examples_seen": 112, "supervised_tokens": 1579, "loss": 0.0010918490488620591, "gradient_norm": 0.16467256844043732, "learning_rate": 0.0001, "seconds": 3.2423263189999716, "elapsed_training_seconds": 43.352628955}
{"update": 15, "examples_seen": 120, "supervised_tokens": 1365, "loss": 0.0011128096550692135, "gradient_norm": 0.09169094264507294, "learning_rate": 0.0001, "seconds": 3.0627340249999406, "elapsed_training_seconds": 46.41679492399999}
{"update": 16, "examples_seen": 128, "supervised_tokens": 1513, "loss": 0.0003363909863765002, "gradient_norm": 0.06320389360189438, "learning_rate": 0.0001, "seconds": 3.1198863780000465, "elapsed_training_seconds": 49.538450233999924}
{"update": 17, "examples_seen": 136, "supervised_tokens": 1549, "loss": 0.0009086822763038072, "gradient_norm": 0.057646285742521286, "learning_rate": 0.0001, "seconds": 3.2619289769999114, "elapsed_training_seconds": 52.804229211999996}
{"update": 18, "examples_seen": 144, "supervised_tokens": 1509, "loss": 0.00011308039643154189, "gradient_norm": 0.0073268963024020195, "learning_rate": 0.0001, "seconds": 3.0705250820000174, "elapsed_training_seconds": 55.876464203999944}
{"update": 19, "examples_seen": 152, "supervised_tokens": 1462, "loss": 0.00022496714564113063, "gradient_norm": 0.02760000340640545, "learning_rate": 0.0001, "seconds": 2.799985528000093, "elapsed_training_seconds": 58.67808699999989}
{"update": 20, "examples_seen": 160, "supervised_tokens": 1309, "loss": 1.913788764795754e-05, "gradient_norm": 0.001101763336919248, "learning_rate": 0.0001, "seconds": 2.944754900000021, "elapsed_training_seconds": 61.62643067599993}
{"update": 21, "examples_seen": 168, "supervised_tokens": 1507, "loss": 2.6103125264853588e-05, "gradient_norm": 0.0007952307350933552, "learning_rate": 0.0001, "seconds": 2.8060667390000162, "elapsed_training_seconds": 64.43450072299993}
{"update": 22, "examples_seen": 176, "supervised_tokens": 1478, "loss": 0.0017375677407471812, "gradient_norm": 0.26466134190559387, "learning_rate": 0.0001, "seconds": 3.245641319000015, "elapsed_training_seconds": 67.681639077}
{"update": 23, "examples_seen": 184, "supervised_tokens": 1664, "loss": 1.4678890238428721e-05, "gradient_norm": 0.0005030811298638582, "learning_rate": 0.0001, "seconds": 3.150075486999981, "elapsed_training_seconds": 70.83318938899993}
{"update": 24, "examples_seen": 192, "supervised_tokens": 1498, "loss": 7.856118008930935e-05, "gradient_norm": 0.0073202140629291534, "learning_rate": 0.0001, "seconds": 3.0818376099999796, "elapsed_training_seconds": 73.91653339499999}
{"update": 25, "examples_seen": 200, "supervised_tokens": 1548, "loss": 2.024128843913786e-05, "gradient_norm": 0.0005994035163894296, "learning_rate": 0.0001, "seconds": 3.199213375999989, "elapsed_training_seconds": 77.11722912399989}
