Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.47it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.55it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.27it/s]
{"update": 27, "examples_seen": 216, "supervised_tokens": 1455, "loss": 3.4547385439509526e-05, "gradient_norm": 0.000987174455076456, "learning_rate": 0.0001, "seconds": 3.0701357409999446, "elapsed_training_seconds": 83.69402232899995}
{"update": 28, "examples_seen": 224, "supervised_tokens": 1488, "loss": 1.801730104489252e-05, "gradient_norm": 0.0004036952741444111, "learning_rate": 0.0001, "seconds": 3.275923081999963, "elapsed_training_seconds": 86.97170608699992}
{"update": 29, "examples_seen": 232, "supervised_tokens": 1364, "loss": 3.2645953297105734e-05, "gradient_norm": 0.0023843268863856792, "learning_rate": 0.0001, "seconds": 3.0979988699999694, "elapsed_training_seconds": 90.0713045519999}
{"update": 30, "examples_seen": 240, "supervised_tokens": 1663, "loss": 0.00031544730995847203, "gradient_norm": 0.039389271289110184, "learning_rate": 0.0001, "seconds": 3.1721094829999856, "elapsed_training_seconds": 93.24474598699999}
{"update": 31, "examples_seen": 248, "supervised_tokens": 1630, "loss": 1.2671169997702236e-05, "gradient_norm": 0.00022025116777513176, "learning_rate": 0.0001, "seconds": 3.2520185899999206, "elapsed_training_seconds": 96.49807728799999}
{"update": 32, "examples_seen": 256, "supervised_tokens": 1602, "loss": 2.1892694348935038e-05, "gradient_norm": 0.0006724724662490189, "learning_rate": 0.0001, "seconds": 3.0965657589999864, "elapsed_training_seconds": 99.596133861}
{"update": 33, "examples_seen": 264, "supervised_tokens": 1307, "loss": 0.0033692580572051156, "gradient_norm": 0.4975643455982208, "learning_rate": 0.0001, "seconds": 3.166679359999989, "elapsed_training_seconds": 102.76441972399994}
{"update": 34, "examples_seen": 272, "supervised_tokens": 1370, "loss": 2.3505825311076478e-05, "gradient_norm": 0.0009028741042129695, "learning_rate": 0.0001, "seconds": 3.0485566060000338, "elapsed_training_seconds": 105.8144938019999}
{"update": 35, "examples_seen": 280, "supervised_tokens": 1492, "loss": 1.4431644331125426e-05, "gradient_norm": 0.0003650495200417936, "learning_rate": 0.0001, "seconds": 3.0592480620000515, "elapsed_training_seconds": 108.875379909}
{"update": 36, "examples_seen": 288, "supervised_tokens": 1181, "loss": 0.006469920887866465, "gradient_norm": 0.42679187655448914, "learning_rate": 0.0001, "seconds": 2.933960006999996, "elapsed_training_seconds": 111.81084303799992}
{"update": 37, "examples_seen": 296, "supervised_tokens": 1431, "loss": 3.598125113057904e-05, "gradient_norm": 0.0019573753233999014, "learning_rate": 0.0001, "seconds": 3.073977275000061, "elapsed_training_seconds": 114.88629735500001}
{"update": 38, "examples_seen": 304, "supervised_tokens": 1402, "loss": 2.5177785573760048e-05, "gradient_norm": 0.0008829355356283486, "learning_rate": 0.0001, "seconds": 3.064317310000092, "elapsed_training_seconds": 117.95235255499995}
{"update": 39, "examples_seen": 312, "supervised_tokens": 1581, "loss": 0.0003301801393718051, "gradient_norm": 0.08029530197381973, "learning_rate": 0.0001, "seconds": 3.208745105000048, "elapsed_training_seconds": 121.1626105009999}
{"update": 40, "examples_seen": 320, "supervised_tokens": 1651, "loss": 0.0006577448618827475, "gradient_norm": 0.10591723024845123, "learning_rate": 0.0001, "seconds": 3.142503304999991, "elapsed_training_seconds": 124.306544056}
{"update": 41, "examples_seen": 328, "supervised_tokens": 1407, "loss": 0.00038410477463912684, "gradient_norm": 0.1206439882516861, "learning_rate": 0.0001, "seconds": 3.0988367250000692, "elapsed_training_seconds": 127.40671771099994}
{"update": 42, "examples_seen": 336, "supervised_tokens": 1342, "loss": 0.000821406819341064, "gradient_norm": 0.13059961795806885, "learning_rate": 0.0001, "seconds": 3.296942432000037, "elapsed_training_seconds": 130.70513065399996}
{"update": 43, "examples_seen": 344, "supervised_tokens": 1566, "loss": 0.00013131471860106103, "gradient_norm": 0.005858764052391052, "learning_rate": 0.0001, "seconds": 3.0705406429999584, "elapsed_training_seconds": 133.77710830799992}
{"update": 44, "examples_seen": 352, "supervised_tokens": 1388, "loss": 1.4789071201448678e-05, "gradient_norm": 0.0002382775128353387, "learning_rate": 0.0001, "seconds": 3.173712081000076, "elapsed_training_seconds": 136.95235865999996}
{"update": 45, "examples_seen": 360, "supervised_tokens": 1616, "loss": 2.0426902892722865e-05, "gradient_norm": 0.000333951145876199, "learning_rate": 0.0001, "seconds": 3.1012999980000586, "elapsed_training_seconds": 140.05525640199994}
{"update": 46, "examples_seen": 368, "supervised_tokens": 1501, "loss": 7.592603651573882e-05, "gradient_norm": 0.00578573253005743, "learning_rate": 0.0001, "seconds": 3.082411384000011, "elapsed_training_seconds": 143.1390890309999}
{"update": 47, "examples_seen": 376, "supervised_tokens": 1387, "loss": 7.10843371507508e-05, "gradient_norm": 0.007015491370111704, "learning_rate": 0.0001, "seconds": 3.1633861489999617, "elapsed_training_seconds": 146.30409660099997}
{"update": 48, "examples_seen": 384, "supervised_tokens": 1652, "loss": 0.00032498104928890825, "gradient_norm": 0.1625514179468155, "learning_rate": 0.0001, "seconds": 3.1471985050000058, "elapsed_training_seconds": 149.45264688999998}
{"update": 49, "examples_seen": 392, "supervised_tokens": 1486, "loss": 2.548348766140407e-05, "gradient_norm": 0.0006952098337933421, "learning_rate": 0.0001, "seconds": 3.076309318999961, "elapsed_training_seconds": 152.53049166899996}
{"update": 50, "examples_seen": 400, "supervised_tokens": 1661, "loss": 2.1169150159039418e-05, "gradient_norm": 0.0007159423548728228, "learning_rate": 0.0001, "seconds": 3.256942102000039, "elapsed_training_seconds": 155.78888769799994}
{"update": 51, "examples_seen": 408, "supervised_tokens": 1422, "loss": 0.0004741766776987788, "gradient_norm": 0.06920874118804932, "learning_rate": 0.0001, "seconds": 3.1091928430000735, "elapsed_training_seconds": 158.89946978499995}
{"update": 52, "examples_seen": 416, "supervised_tokens": 1419, "loss": 1.7169361854030285e-05, "gradient_norm": 0.00024691608268767595, "learning_rate": 0.0001, "seconds": 2.8481840489999968, "elapsed_training_seconds": 161.74908488999995}
{"update": 53, "examples_seen": 424, "supervised_tokens": 1442, "loss": 2.3424619030265603e-05, "gradient_norm": 0.0006014439859427512, "learning_rate": 0.0001, "seconds": 3.1849237999999787, "elapsed_training_seconds": 164.9353812139999}
